" ""Code""",Name,Classification,Tin,Address,Country,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
,SAMPAGUITA TOURIST INN ,ACCOMMODATION,114-451-934,"40 MAGSAYSAY AVE, NAGA CITY",,,,,,,,,
,"LUCKY EDUCATIONAL SUPPLY, INC",OFFICE SUPPLIES,005-609-633-006,"P. BURGOS STREET, CORNER BARLIN STREET, NAGA CITY",,,,,,,,,
,ACE HARDWARE PHILS INC,OFFICE SUPPLIES,200-035-311,SM SOUTHMALL ALMANZA UNO LAS PINAS,,,,,,,,,
,CHIAMBROS INC.,OFFICE SUPPLIES,005-981-177-0001,,,,,,,,,,
,BDM ENTERPRISES INC.,LOCAL PURCHASES,007-316-005-001,,,,,,,,,,
,BROKHILL SULITGAS CORPORATION,FUEL,008-416-443,,,,,,,,,,
,PILAR VILLAGE ( GATE PASS ),OFFICE EXPENSE,-,,,,,,,,,,
,PILAR HOMEOWNERS ASSOCIATION INC.,LICENSES AND PERMIT,003-958-461,,,,,,,,,,
,OFFICE WAREHOUSE INC ,OFFICE SUPPLIES,200-492-462,ALABANG MUNTINLUPA CITY,,,,,,,,,
,ALMANZA GAS STATION INC,FUEL,621-436-247,ALMANZA UNO LAS PINAS CITY,,,,,,,,,
,LAUREL DOMINIC A. PEDRIALVA,IMPORTATION,201-349-070,BRGY 521 SAMPALOC MANILA,,,,,,,,,
,PEOPLE'S AIR CARGO AND WAREHOUSING CO INC,WAREHOUSE EXPENSE,000-305-554,BRGY 198 PASAY CITY,,,,,,,,,
,PER DIEM ( ANGELO ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( EDUARDO ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( LEO ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( JONAH ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( MICAH ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( TOFFEE ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( JAYVEE ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( JANELLE ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( ARAR ),PER DIEM,-,,,,,,,,,,
,PER DIEM (KHRISTINE ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( MARK ),PER DIEM,-,,,,,,,,,,
,PER DIEM ( BIEN ),PER DIEM,-,,,,,,,,,,
,"S.M. PRIETO MARKETING, INC.",OFFICE EXPENSE,000-091-017,,,,,,,,,,
,CITY GOVERNMENT OF LAS PINAS,LICENSES AND PERMIT,000-000-019,,,,,,,,,,
,PHILIPPINE SOCIETY OF PATHOLOGISTS,SPONSORSHIP,-,,,,,,,,,,
,LIBERTY INSURANCE CORPORATION,INSURANCE,000-471-488,,,,,,,,,,
,MERALCO ,UTILITIES,000-101-528,ORTIGAS AVENUE PASIG CITY,,,,,,,,,
,CIVIC PRIME CONDOMINIUM CORPORATION - REPAIR,REPAIR AND MAINTENANCE,-,FILINVEST CORPORATE ALABANG MUNTINLUPA,,,,,,,,,
,MAVESON ENTERPISE,LOCAL PURCHASES,205-009-749,,,,,,,,,,
,"MACROHEALTH, INC.",LOCAL PURCHASES,006-524-162,,,,,,,,,,
,VICTORY LINER INC,FREIGHT FEE,000-616-906,BRGY 143 PASAY CITY,,,,,,,,,
,CEBU AIR INC CARGO,FREIGHT FEE,000-948-229,,,,,,,,,,
,ACABUS BOOK AND CARD CORP,OFFICE SUPPLIES,000-299-299,SM SOUTHMALL ALMANZA UNO LAS PINAS,,,,,,,,,
,LALAMOVE,OFFICE EXPENSE,000-000-025,,,,,,,,,,
,LAND TRANSPORTATION OFFICE ,OFFICE EXPENSE,-,,,,,,,,,,
,OTHERS - NOTARY FEE,LEGAL AND PROFESSIONAL FEES,-,,,,,,,,,,
,ATTY. JOMAR FAJARDO,LEGAL AND PROFESSIONAL FEES,-,,,,,,,,,,
,SHOPEE,OFFICE EXPENSE,-,,,,,,,,,,
,SUPERVALUE INC.,OFFICE SUPPLIES,000-144-976,,,,,,,,,,
,FILINVEST CITY ASSOCIATION INC.,LICENSES AND PERMIT,203-948-737,,,,,,,,,,
,ANYDAY WATER REFILLING STATION,OFFICE EXPENSE,701-912-971,,,,,,,,,,
,PRIMERA CLASE GAS STATION,FUEL,007-851-409,,,,,,,,,,
,ABACUS BOOK AND CARD CORP,OFFICE SUPPLIES,000-299-299,,,,,,,,,,
,FAST FORWARD FUELS CO. INC.,FUEL,637-243-232-010,GENERAL TRIAS CAVITE,,,,,,,,,
,"GRAND UNION SUPERMARKET, INC.",OFFICE EXPENSE,000-123-826-016,,,,,,,,,,
,SMC NAIAX CORPORATION,TOLL FEE,008-541-677,GREENHILLS MANDALUYONG CITY,,,,,,,,,
,SMC SKYWAY CORPORATION,TOLL FEE,004-625-830,WACK WACK GREENHILLS MANDALUYONG CITY,,,,,,,,,
,NEW NAIA INFRA CORP.,TOLL FEE,644-600-145-001,,,,,,,,,,
,PHILIPPINES AIRAISA INC.,FREIGHT FEE,005-059-838-0016,BRGY. 183 PASAY CITY,,,,,,,,,
,TNC EVERLIGHT PHILIPPINES INC.,LOCAL PURCHASES,000-170-902,GIL PUYAT AVENUE BEL-AIR MAKATI CITY,,,,,,,,,
,BARNEY TRANS.,TRANSPORTATION,005-617-022,,,,,,,,,,
,RAYMOND TRANSPORTATION,TRANSPORTATION,115-047-087,,,,,,,,,,
,"SITC CONTAINER LINES PHILS., INC.",OFFICE EXPENSE,258-121-502,BRGY. 76 PASAY CITY,,,,,,,,,
,HALE MEDIPOINT CORP.,LOCAL PURCHASES,-,,,,,,,,,,
,MEDICAL CENTER TRADING CORPORATION,LOCAL PURCHASES,000-280-681,STA. CRUZ MANILA,,,,,,,,,
,FUEL KING SERVICE CENTER,FUEL,110-005-602,STO. NINO PARANAQUE CITY,,,,,,,,,
,BARDSTOWN INC.,REPRESENTATION,008-184-666,SM SOUTHMALL ALABANG-ZAPOTE ROAD LAS PINAS,,,,,,,,,
,TWO FOUR ENTERPRISE,FUEL,263-563-776,MARCOS ALVAREZ TALON V LAS PINAS,,,,,,,,,
,ROBERIL PETROLEUM SERVICE STATION,FUEL,150-133-970-001,DAANG HARI ALMANZA UNO LAS PINAS ,,,,,,,,,
,MANILA KLEAN FUEL CORP,FUEL,007-111-122-00064,CUBAO QUEZON CITY,,,,,,,,,
,MAXIPACIFIC FUEL GAS STATIONS INC.,FUEL,615-414-9000-00007,BACOOR CAVITE,,,,,,,,,
,GRAB ,TRANSPORTATION,-,,,,,,,,,,
,SLT GASMART CORPORATION,FUEL,224-548-042,TUNASAN MUNTINLUPA CITY,,,,,,,,,
,"ROBINSONS TRUE SERVE HARDWARE PHIL, INC.",OFFICE EXPENSE,006-643-830-004,ALABANG TOWN CENTER MUNTINLUPA,,,,,,,,,
,"TOYOTA CAMARINES SUR, INC.",REPAIR AND MAINTENANCE,-,,,,,,,,,,
,SM PRIME HOLDINGS INC.,TRANSPORTATION,003-058-789,SM SOUTHMALL ALMANZA UNO LAS PINAS,,,,,,,,,
,RED RIBBON BAKE SHOP INC.,REPRESENTATION,003-294-772,BRGY. 669 ERMITA MANILA,,,,,,,,,
,INTERNATIONAL CONTAINER TERMINAL SERVICES INC,FREIGHT FEE,00-323-228,NORTH HARBOR MANILA,,,,,,,,,
,ASSOCIATION OF INTERNATION SHIPPING LINES INC.,OTHERS - INSURANCE,000-741-394,MALATE MANILA,,,,,,,,,
,VZ14 AUTO WORKZ ,REPAIR AND MAINTENANCE,121-867-506,BRGY. ACACIA SILANG CAVITE,,,,,,,,,
,IT EASY SOFTWARE SOLUTIONS INC.,LOCAL PURCHASES,008-857-741,KALAYAAN AVENUE QUEZON CITY,,,,,,,,,
,ALFAMART,REPRESENTATION,008-720-052-238,PILAR VILLAGE LAS PINAS CITY,,,,,,,,,
,PENAFRANCIA SHIPPING CORPORATION,TRANSPORTATION,23-291-029,,,,,,,,,,
,PHILIPPINE SEVEN CORPORATION,REPRESENTATION,000-390-189-703,AYALA ALABANG MUNTINLUPA CITY,,,,,,,,,
,SELC GOLD GASOLINE CORPORATION,FUEL,010-174-564,IMUS CAVITE,,,,,,,,,
,HIGHBEAM AUTOWORKS,REPAIR AND MAINTENANCE,120-416-938,ALMANZA UNO LAS PINAS CITY,,,,,,,,,
,FEDERAL BREANT RETAIL INC.,FUEL,233-251-708-014,BRGY. 76 PASAY CITY,,,,,,,,,
,JAC LINER INC.,TRANSPORTATION,001-524-039,LUCENA CITY,,,,,,,,,
,RRCG,TRANSPORTATION,-,,,,,,,,,,
,"LA FUERZA, INC.",FUEL,000-129-715-00004,ALMANZA UNO LAS PINAS CITY,,,,,,,,,
,UNIOIL MARKETING CORP.,FUEL,010-345-167-0002,MARCELO GREEN VILLAGE PARANAQUE,,,,,,,,,
,JRS BUSINESS CORPORATION,FREIGHT FEE,000-056-694,TALON UNO LAS PINAS CITY,,,,,,,,,
,D-MSQ SUPERMART,OFFICE SUPPLIES,102-704-836,,,,,,,,,,
,HONG ENTERPRISES ,OFFICE SUPPLIES,949-387-212,,,,,,,,,,
,EZEKIEL GROCERY,OFFICE SUPPLIES,314-940-899,,,,,,,,,,
,HYPERTECH COMPUTERS,LOCAL PURCHASES,947-734-993,,,,,,,,,,
,"NFEZ, INC.",FUEL,459-207-288,,,,,,,,,,
,ATTY. JOFREY Q. BOTOR JR.,LEGAL AND PROFESSIONAL FEES,949-405-718,,,,,,,,,,
,LCC EXPRESSMART,OFFICE SUPPLIES,005-716-620,,,,,,,,,,
,OTHERS - LICENSES AND PERMITS,LICENSES AND PERMIT,-,,,,,,,,,,
,OTHER - DELIVERY FEE,FREIGHT FEE,-,,,,,,,,,,
,BNM7210 GROUP CORPORATION,OFFICE EXPENSE,008-343-265,MANILA DOCTORS VILLAGE ALMANZA UNO LAS PINAS,,,,,,,,,
,LABTRON TRADING,LOCAL PURCHASES,-,,,,,,,,,,
,BIOAXIS TRADING,LOCAL PURCHASES,923-304-939,,,,,,,,,,
,ROBIN ROSE TRADING,LOCAL PURCHASES,431-453-932,,,,,,,,,,
,"CBC LINK OF MANILA, INC.",LOCAL PURCHASES,020-540-367,,,,,,,,,,
,CAVITEX INFRASTRACTURE CORP,TOLL FEE,004-672-924,SAN DIONISIO PARANQUE,,,,,,,,,
,PETRON,FUEL,770-107-660,DASMARINAS CAVITE,,,,,,,,,
,UNO FUEL INCORPORATED,FUEL,205-214-184,TRECE MARTINEZ CAVITE,,,,,,,,,
,ROGERLINES TRANSPORT CORPORATION,TRANSPORTATION,768-037-659,,,,,,,,,,
,SOCIAL SECURITY SYSTEM,GOVERNMENT BENEFITS,-,,,,,,,,,,
,HOME DEVELOPMENT MUTUAL FUND,GOVERNMENT BENEFITS,-,,,,,,,,,,
,PHILIPPINE HEALTH INSURANCE CORPORATION,GOVERNMENT BENEFITS,-,,,,,,,,,,
,ALABANG TSC BUS,TRANSPORTATION,-,,,,,,,,,,
,BRICOLAGE PHILIPPINES INC.,OFFICE SUPPLIES,-,,,,,,,,,,
,MAYNILAD WATER SERVICES,UTILITIES,005-393-442,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
